Title,Cleaned_Content,Publication_Date,Source_URL,Category
Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident,"Jeremy Renner is continuing his recovery after his devastating snowplow accident in January, and recognizing those who've helped him along the way.","Sun, 16 Apr 2023 19:04:10 GMT",https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,Others
Review: 'Barry' takes a whack at its farewell season,"""Barry"" has taken chances from the very beginning, which is certainly true of a fourth and final season that picks up where the third left off, with its hitman-turned-wannabe actor getting arrested. That paves the way for an even darker season that accentuates the show's ensemble aspect while leaning a little too heavily on blurring lines with flights of fancy.","Fri, 14 Apr 2023 12:33:08 GMT",https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html,Others
Haley takes aim at 'confused' Trump's mental state in video railing against New York court proceedings,"Nikki Haley suggested Donald Trump was 'confused' in a recent video of him railing against E. Jean Carroll, but Trump's campaign hit back, claiming she was trying to ""gaslight"" voters.","Fri, 26 Jan 2024 14:44:10 -0500",https://www.foxnews.com/politics/haley-takes-aim-confused-trump-mental-state-video-railing-new-york-court-proceedings,Others
North Carolina state workers' health plan ending coverage for certain weight-loss drugs,"Weight-loss medications, which have skyrocketed in popularity, have accounted for 10% of overall cost of prescriptions for NC health plan, leading to concerns over cost.","Fri, 26 Jan 2024 14:33:28 -0500",https://www.foxnews.com/politics/north-carolina-state-workers-health-plan-ending-coverage-certain-weight-loss-drugs,Others
Trump slams Senate border package as a ‘gift to the Radical Left Democrats',"Former President Donald Trump is taking aim at an emerging Senate border package, warning Republicans that it won't secure the border and will be a ""gift"" to Dems.","Fri, 26 Jan 2024 14:32:34 -0500",https://www.foxnews.com/politics/trump-slams-senate-border-package-gift-radical-left-democrats,Others
Ex-FBI official who shut down Hunter Biden lines of investigation violated Hatch Act with anti-Trump posts,"EXCLUSIVE: The Justice Department’s Office of Special Counsel determined that a former FBI official violated the Hatch Act in his political posts on social media—the same official whistleblowers warned showed a “pattern of active public partisanship"" that “likely affected"" investigations involving former President Trump and Hunter Biden.","Fri, 26 Jan 2024 14:03:03 -0500",https://www.foxnews.com/politics/ex-fbi-official-shut-down-hunter-biden-lines-investigation-violated-hatch-act-anti-trump-posts,Terrorism
Democratic Rep Ruppersberger resigning from House at end of year,"Rep. Dutch Ruppersberger, D-Md., released a statement Friday announcing his departure from Congress at the end of they year and called on ""thoughtful, end-game representatives"" to step up.","Fri, 26 Jan 2024 13:55:21 -0500",https://www.foxnews.com/politics/democratic-rep-ruppersberger-resigning-house-end-year,Others
Sen. Tillis schools anti-Israel protester on Hamas in hallway confrontation: 'Dictators',"Sen. Thom Tillis, R-N.C., confronted a protester at Dirksen Senate Office, asserting Hamas' responsibility for Palestinian suffering and challenging the claim of their legitimate election in 2006.","Fri, 26 Jan 2024 13:03:08 -0500",https://www.foxnews.com/politics/sen-tillis-schools-anti-israel-protester-on-hamas-in-hallway-confrontation,Terrorism
Texas lawmaker calls for AG Ken Paxton impeachment inquiry to be reopened,Texas state Sen. Drew Springer wants Attorney General Ken Paxton to face renewed impeachment charges in response to Paxton's filing in a whistleblower lawsuit.,"Fri, 26 Jan 2024 12:42:07 -0500",https://www.foxnews.com/politics/texas-lawmaker-calls-ag-ken-paxton-impeachment-inquiry-reopened,Others
GA Senate launches committee to probe Trump prosecutor Fani Willis for 'improper' affair,Georgia's GOP-controlled state Senate on Friday voted to form a special committee to investigate Fulton County District Attorney Fani Willis.,"Fri, 26 Jan 2024 12:24:48 -0500",https://www.foxnews.com/politics/ga-senate-launches-committee-probe-trump-prosecutor-fani-willis-improper-affair,Others
